"submission_id"	"dataset_id"	"collection_id"	"collection_title"	"pi_list"
"submission_id"	"dataset_id"	"collection_id"	"collection_title"	"pi_list"
"36392"	"38662"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36394"	"38666"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36395"	"38668"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36396"	"38670"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36399"	"38675"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36407"	"38691"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36407"	"38692"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36408"	"38693"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36409"	"38694"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36409"	"38696"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19263"	"19850"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19270"	"19863"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19279"	"19880"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36396"	"38669"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36403"	"38683"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36403"	"38684"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36405"	"38688"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36406"	"38689"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19268"	"19859"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19273"	"19869"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"19282"	"19885"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"26752"	"28243"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36392"	"38661"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36400"	"38677"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"36404"	"38685"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
"55584"	"59835"	"2965"	"Somatic Mosaicism in Schizophrenia and Control Brains	"	"Andrew J. Chess"
