Sample Name*	Conc (ng/µL)*	Pool	uL	# Reads	Yield (Mb)	Mean Quality Score	% Bases >= 30	Total Reads/Pool	% of Pool	Coverage	Original %		New %	U/100uL	Ratio	uL/150uL	uL final	U	Number lanes	nM in pool	Vol/Pool	Actual/Proposed	Predicted lanes	Total lanes	Total Coverage
20	2.2	G	3.1	715422696	214627	35.53	91.68		0.267120546905943	50.1	0.1	0.1	0.1	14.3		8.37	14.7	32.41		DDW	27.6	2.45	1.18	1.45	290
32	1.3	G	5.1	372875214	111863	35.53	91.73		0.139222073395545	26.1	0.2	0.3	0.2	27.7		26.42	23.5	31.66				1.24	0.60	0.74	148
48	2.5	G	2.7	696446675	208934	35.55	91.8		0.260035385733451	48.8	0.1	0.1	0.1	14.8		7.49	13.2	33.59				2.45	1.19	1.45	290
72	0.6	G	11.3	320188601	96057	35.56	91.88		0.119550238887262	22.4	0.4	0.7	0.5	32.4		68.16	18	11.02				0.37	0.18	0.30	59
8	1.0	H	5.7	450841907	135253	35.24	90.18	2435647764	0.185101439405012	31.6	0.2	0.1	0.1	11.8	1.3	22.99	23	23.05	4	1.15	131.5	1.48	0.70	0.89	177
21	1.0	H	5.7	391085308	117326	35.29	90.39		0.160567268297338	27.4	0.2	0.2	0.1	13.8		26.50	23	23.31		DDW	-11.5	1.28	0.61	0.77	154
33	1.0	H	5.9	474878642	142464	35.28	90.32		0.194970163181609	33.2	0.2	0.1	0.1	11.4		22.59	22.6	22.20				1.48	0.70	0.90	179
49	1.6	H	3.6	562362782	168709	35.3	90.44		0.230888386371782	39.4	0.1	0.1	0.1	9.5		11.64	19.9	31.52				2.53	1.20	1.43	286
73	1.1	H	5.2	358750334	107625	35.39	90.94		0.147291549830191	25.1	0.1	0.2	0.1	14.9		26.35	23.5	25.94				1.32	0.63	0.77	155
74	0.6	H	9.2	197728791	59319	35.39	90.87		0.081181192914067	13.8	0.3	0.5	0.4	27.2		84.59	19.5	12.20				0.34	0.16	0.24	49
9	1.0	I	5.9	253269516	75981	35.2	89.97	2455883469	0.103127660248117	17.7	0.3	0.5	0.4	40.3	0.7	45.69	23	22.49	5	1.15	99.8	0.56	0.39	0.50	99
22	1.9	I	3.1	501206385	150362	35.18	89.84		0.204083944261445	35.1	0.2	0.1	0.1	20.3		12.13	14.3	26.60		DDW	50.2	1.31	0.92	1.13	225
34	1.8	I	3.1	434018115	130205	35.24	90.1		0.176725858730067	30.4	0.2	0.1	0.1	23.1		14.01	16.5	30.18				1.31	0.92	1.10	220
