Sample Name*,Conc (ng/µL)*,Pool,uL,# Reads,Yield (Mb),Mean Quality Score,% Bases >= 30,Total Reads/Pool,% of Pool,Coverage,Original %,Unnamed: 12,New %,U/100uL,Ratio,uL/150uL,uL final,U,Number lanes,nM in pool,Vol/Pool,Actual/Proposed,Predicted lanes,Total lanes,Total Coverage,Uploaded to S3
31,1.5,F,3.9,562832630.0,168850.0,35.62,92.19,,0.21096430277055497,39.4,0.1,0.1,0.1,14.4,,14.63,14.2,20.69,,DDW,25.1,1.51,0.92,1.13,227.0,True
46,1.7,F,3.5,385143675.0,115543.0,35.69,92.52,,0.144361862713724,27.0,0.1,0.2,0.1,21.6,,19.18,18.6,30.87,,,,1.51,0.92,1.07,213.0,False
67,1.3,F,4.3,392150193.0,117645.0,35.69,92.57,,0.1469880878221,27.5,0.2,0.2,0.2,20.8,,23.14,22.5,29.79,,,,1.51,0.92,1.07,214.0,False
75,0.6,F,9.6,291653455.0,87496.0,35.63,92.3,,0.109319297611971,20.4,0.4,0.6,0.5,28.2,,69.47,19.0,11.4,,,,0.43,0.26,0.37,74.0,False
G MSSM 1357,3.8,F,1.5,561937114.0,168581.0,35.61,92.19,,0.210628640091297,39.3,0.1,0.0,0.0,14.5,,5.63,5.5,20.88,,,,1.52,0.93,1.14,228.0,False
7,1.3,G,5.4,573343361.0,172003.0,35.51,91.65,2678276547.0,0.21407175507780002,40.1,0.2,0.2,0.1,18.0,1.1,18.19,23.0,29.32,4.0,1.15,92.4,1.76,0.85,1.07,213.0,False
20,2.2,G,3.1,715422696.0,214627.0,35.53,91.68,,0.267120546905943,50.1,0.1,0.1,0.1,14.3,,8.37,14.7,32.41,,DDW,27.6,2.45,1.18,1.45,290.0,True
32,1.3,G,5.1,372875214.0,111863.0,35.53,91.73,,0.13922207339554502,26.1,0.2,0.3,0.2,27.7,,26.42,23.5,31.66,,,,1.24,0.6,0.74,148.0,True
48,2.5,G,2.7,696446675.0,208934.0,35.55,91.8,,0.26003538573345103,48.8,0.1,0.1,0.1,14.8,,7.49,13.2,33.59,,,,2.45,1.19,1.45,290.0,False
72,0.6,G,11.3,320188601.0,96057.0,35.56,91.88,,0.11955023888726199,22.4,0.4,0.7,0.5,32.4,,68.16,18.0,11.02,,,,0.37,0.18,0.3,59.0,False
8,1.0,H,5.7,450841907.0,135253.0,35.24,90.18,2435647764.0,0.18510143940501197,31.6,0.2,0.1,0.1,11.8,1.3,22.99,23.0,23.05,4.0,1.15,131.5,1.48,0.7,0.89,177.0,False
21,1.0,H,5.7,391085308.0,117326.0,35.29,90.39,,0.16056726829733803,27.4,0.2,0.2,0.1,13.8,,26.5,23.0,23.31,,DDW,-11.5,1.28,0.61,0.77,154.0,True
33,1.0,H,5.9,474878642.0,142464.0,35.28,90.32,,0.19497016318160898,33.2,0.2,0.1,0.1,11.4,,22.59,22.6,22.2,,,,1.48,0.7,0.9,179.0,False
49,1.6,H,3.6,562362782.0,168709.0,35.3,90.44,,0.23088838637178197,39.4,0.1,0.1,0.1,9.5,,11.64,19.9,31.52,,,,2.53,1.2,1.43,286.0,False
73,1.1,H,5.2,358750334.0,107625.0,35.39,90.94,,0.147291549830191,25.1,0.1,0.2,0.1,14.9,,26.35,23.5,25.94,,,,1.32,0.63,0.77,155.0,False
74,0.6,H,9.2,197728791.0,59319.0,35.39,90.87,,0.081181192914067,13.8,0.3,0.5,0.4,27.2,,84.59,19.5,12.2,,,,0.34,0.16,0.24,49.0,False
9,1.0,I,5.9,253269516.0,75981.0,35.2,89.97,2455883469.0,0.10312766024811698,17.7,0.3,0.5,0.4,40.3,0.7,45.69,23.0,22.49,5.0,1.15,99.8,0.56,0.39,0.5,99.0,False
22,1.9,I,3.1,501206385.0,150362.0,35.18,89.84,,0.204083944261445,35.1,0.2,0.1,0.1,20.3,,12.13,14.3,26.6,,DDW,50.2,1.31,0.92,1.13,225.0,True
34,1.8,I,3.1,434018115.0,130205.0,35.24,90.1,,0.17672585873006696,30.4,0.2,0.1,0.1,23.1,,14.01,16.5,30.18,,,,1.31,0.92,1.1,220.0,False
50,2.2,I,2.6,453857031.0,136157.0,35.28,90.33,,0.18480397654405198,31.8,0.1,0.1,0.1,22.1,,11.24,13.2,28.77,,,,1.31,0.92,1.1,221.0,False
54,1.6,I,3.6,413236636.0,123971.0,35.26,90.21,,0.16826394298271202,28.9,0.2,0.2,0.2,24.4,,17.09,20.1,31.84,,,,1.31,0.92,1.09,218.0,False
H PITT 1454,2.6,I,2.2,400295786.0,120089.0,35.23,90.02,,0.162994617233608,28.0,0.1,0.1,0.1,25.3,,10.78,12.7,33.09,,,,1.31,0.92,1.08,217.0,False
10,0.7,J,8.3,395700135.0,118710.0,35.0,88.96,2380572683.0,0.16622056441534,27.7,0.2,0.2,0.2,14.1,1.2,37.5,20.5,14.12,4.0,1.15,100.9,0.99,0.41,0.57,114.0,True
23,5.2,J,1.1,595423119.0,178627.0,35.13,89.48,,0.250117597018566,41.7,0.0,0.0,0.0,9.3,,3.3,4.6,23.76,,DDW,19.1,2.53,1.03,1.28,257.0,True
57,0.4,J,12.9,422934889.0,126880.0,35.08,89.26,,0.17766098553521897,29.6,0.4,0.3,0.3,13.3,,54.54,16.0,7.15,,,,0.53,0.22,0.4,79.0,False
76,0.8,J,6.8,198325368.0,59498.0,35.13,89.54,,0.083309940257766,13.9,0.2,0.4,0.3,28.2,,61.31,22.0,18.6,,,,0.65,0.27,0.35,70.0,False
I,2.5,J,2.3,385271037.0,115581.0,35.21,89.91,,0.161839644616303,27.0,0.1,0.1,0.1,14.4,,10.67,14.9,37.0,,,,2.54,1.04,1.2,240.0,False
J,1.6,J,3.5,382918135.0,114875.0,35.13,89.51,,0.160851268156806,26.8,0.1,0.1,0.1,14.6,,16.34,22.9,37.66,,,,2.55,1.04,1.2,240.0,False
