"Variable","Description","Value"
"FACS ID",NA,NA
"Sample DNA ID",NA,NA
"musclePaired",NA,NA
"Total DNA (ng)",NA,NA
"Brain Region",NA,NA
"Total Volume (ml)",NA,NA
"Concentration (ng/ml)",NA,NA
"gDNA Extraction Date",NA,NA
"gDNA Extraction Operator",NA,NA
"Library Prep Date",NA,NA
