"Variable","Description","Value"
"Institution Dissection ID",NA,NA
"FACS ID",NA,NA
"FACS date",NA,NA
"Sample",NA,NA
"FACs Pair",NA,NA
"Input(mg)",NA,NA
"Gray matter (%)",NA,NA
"Gray matter (estimated, mg)",NA,NA
"# of nuclei",NA,NA
"Collected Nuclei per 100mg gray matter",NA,NA
"FACS machine",NA,NA
"FACS Operator",NA,NA
"Ab catalog num",NA,NA
"Ab lot num",NA,NA
"Nuclei Frozen",NA,NA
"No. of Nuclei",NA,NA
"FACS assay",NA,NA
