"Individual ID","Institution","Institution.wgs"
"CMC_MSSM_281","MSSM","MSSM"
"CMC_MSSM_281","MSSM","MSSM"
"CMC_PITT_123","Pitt","PITT"
"CMC_PITT_123","Pitt","PITT"
"CMC_PITT_123","Pitt","PITT"
"CMC_PITT_123","Pitt","PITT"
"CMC_MSSM_133","MSSM","MSSM"
"CMC_MSSM_133","MSSM","MSSM"
"CMC_MSSM_133","MSSM","MSSM"
"CMC_MSSM_133","MSSM","MSSM"
"CMC_MSSM_107","MSSM","MSSM"
"CMC_MSSM_107","MSSM","MSSM"
"CMC_MSSM_107","MSSM","MSSM"
"CMC_MSSM_107","MSSM","MSSM"
"CMC_MSSM_142","MSSM","MSSM"
"CMC_MSSM_142","MSSM","MSSM"
"CMC_MSSM_142","MSSM","MSSM"
"CMC_MSSM_142","MSSM","MSSM"
"CMC_MSSM_120","MSSM","MSSM"
"CMC_MSSM_120","MSSM","MSSM"
"CMC_MSSM_120","MSSM","MSSM"
"CMC_MSSM_120","MSSM","MSSM"
"CMC_MSSM_206","MSSM","MSSM"
"CMC_MSSM_206","MSSM","MSSM"
"CMC_MSSM_206","MSSM","MSSM"
"CMC_MSSM_206","MSSM","MSSM"
"CMC_MSSM_130","MSSM","MSSM"
"CMC_MSSM_130","MSSM","MSSM"
"CMC_MSSM_130","MSSM","MSSM"
"CMC_MSSM_130","MSSM","MSSM"
"CMC_MSSM_405","MSSM","MSSM"
"CMC_MSSM_405","MSSM","MSSM"
"CMC_MSSM_405","MSSM","MSSM"
"CMC_MSSM_405","MSSM","MSSM"
"CMC_MSSM_225","MSSM","MSSM"
"CMC_MSSM_225","MSSM","MSSM"
"CMC_MSSM_225","MSSM","MSSM"
"CMC_MSSM_225","MSSM","MSSM"
"CMC_MSSM_224","MSSM","MSSM"
"CMC_MSSM_265","MSSM","MSSM"
"CMC_MSSM_362","MSSM","MSSM"
"CMC_MSSM_320","MSSM","MSSM"
"CMC_PITT_110","Pitt","PITT"
"CMC_MSSM_217","MSSM","MSSM"
"CMC_MSSM_336","MSSM","MSSM"
"CMC_PITT_001","Pitt","PITT"
"CMC_MSSM_339","MSSM","MSSM"
"CMC_MSSM_213","MSSM","MSSM"
"CMC_MSSM_213","MSSM","MSSM"
"CMC_MSSM_173","MSSM","MSSM"
"CMC_MSSM_173","MSSM","MSSM"
"CMC_MSSM_121","MSSM","MSSM"
"CMC_MSSM_343","MSSM","MSSM"
"CMC_MSSM_321","MSSM","MSSM"
"CMC_PITT_048","Pitt","PITT"
"CMC_MSSM_178","MSSM","MSSM"
"CMC_MSSM_178","MSSM","MSSM"
"CMC_MSSM_178","MSSM","MSSM"
"CMC_MSSM_178","MSSM","MSSM"
"CMC_MSSM_340","MSSM","MSSM"
"CMC_MSSM_340","MSSM","MSSM"
"CMC_MSSM_340","MSSM","MSSM"
"CMC_MSSM_340","MSSM","MSSM"
"CMC_PITT_013","Pitt","PITT"
"CMC_PITT_013","Pitt","PITT"
"CMC_PITT_020","Pitt","PITT"
"CMC_PITT_020","Pitt","PITT"
"CMC_MSSM_067","MSSM","MSSM"
"CMC_MSSM_067","MSSM","MSSM"
"CMC_MSSM_067","MSSM","MSSM"
"CMC_MSSM_067","MSSM","MSSM"
"CMC_MSSM_269","MSSM","MSSM"
"CMC_MSSM_269","MSSM","MSSM"
